time,dir,level,entry,exit,t1hit,pnl,eq,xt,bars,mom4h,month
2025-04-02 15:00,LONG,PrevHigh,86203.93,86786.93,True,164.76,10164.76,TP2,2,1.56,2025-04
2025-04-03 16:45,SHORT,PrevLow,81797.93,82050.26,False,-147.79,10016.98,SL,3,-0.16,2025-04
2025-04-06 16:45,SHORT,PrevLow,81951.32,81623.51,True,88.41,10105.39,TP2,2,-0.86,2025-04
2025-04-14 17:00,SHORT,VWAP,84418.86,84706.46,False,-159.94,9945.45,SL,3,-0.78,2025-04
2025-04-19 16:45,SHORT,VWAP,84846.41,84936.03,False,-63.9,9881.55,SL,1,-0.52,2025-04
2025-04-29 15:45,LONG,VWAP,94859.76,95237.77,True,86.81,9968.35,TP2,3,-0.32,2025-04
2025-05-03 15:00,LONG,VWAP,96486.5,96424.93,False,-47.38,9920.98,SL,4,0.54,2025-05
2025-05-03 16:00,LONG,PrevLow,96322.14,96264.55,False,-45.55,9875.42,SL,2,0.37,2025-05
2025-05-05 15:00,SHORT,PrevLow,93719.88,93887.18,False,-92.24,9783.18,SL,4,-0.54,2025-05
2025-05-06 15:30,LONG,VWAP,94593.01,94593.01,True,26.07,9809.25,SL,3,0.77,2025-05
2025-05-07 15:30,LONG,PrevHigh,97111.01,96967.2,False,-79.69,9729.56,SL,1,0.07,2025-05
2025-05-11 15:15,LONG,VWAP,104379.95,104224.71,False,-79.29,9650.27,SL,2,-0.16,2025-05
2025-05-12 15:00,SHORT,PrevLow,102926.9,102926.9,True,58.34,9708.61,SL,5,-1.48,2025-05
2025-05-15 15:45,LONG,PrevLow,103286.86,103886.53,True,134.2,9842.81,TP2,6,0.86,2025-05
2025-05-17 15:45,SHORT,PrevLow,102976.24,103057.57,False,-52.75,9790.06,SL,5,-0.04,2025-05
2025-05-23 16:15,SHORT,PrevLow,108741.8,109043.88,False,-130.32,9659.74,SL,2,0.3,2025-05
2025-05-26 15:30,LONG,VWAP,110012.5,109876.99,False,-68.84,9590.89,SL,3,0.15,2025-05
2025-05-30 16:00,SHORT,PrevLow,105344.96,104844.64,True,104.52,9695.42,TP2,2,-0.02,2025-05
2025-05-30 16:30,SHORT,PrevLow,104402.71,104402.71,True,38.89,9734.3,SL,7,-1.46,2025-05
2025-06-04 16:15,SHORT,VWAP,105174.95,105331.32,False,-79.31,9655.0,SL,2,0.16,2025-06
2025-06-07 15:30,LONG,PrevHigh,105532.5,105532.5,True,6.06,9661.06,SL,4,0.27,2025-06
2025-06-08 15:30,LONG,PrevHigh,106063.71,106307.62,True,39.92,9700.98,TP2,7,0.38,2025-06
2025-06-11 16:45,SHORT,VWAP,109474.17,109659.61,False,-87.07,9613.91,SL,2,-0.23,2025-06
2025-06-12 15:15,SHORT,VWAP,107229.02,107399.62,False,-82.33,9531.57,SL,1,0.17,2025-06
2025-06-15 16:45,LONG,VWAP,105605.84,105605.84,True,6.59,9538.17,SL,5,0.26,2025-06
2025-06-21 15:30,SHORT,VWAP,103557.51,103645.55,False,-53.42,9484.75,SL,3,-0.31,2025-06
2025-06-21 16:45,SHORT,VWAP,103512.74,103255.82,True,43.96,9528.71,TP2,4,-0.3,2025-06
2025-06-23 16:15,SHORT,VWAP,100315.01,100594.61,False,-127.2,9401.51,SL,1,-0.88,2025-06
2025-06-28 15:45,LONG,VWAP,107506.75,107468.37,False,-34.11,9367.4,SL,2,0.07,2025-06
2025-06-29 16:30,SHORT,PrevHigh,107518.81,107580.4,False,-42.07,9325.33,TIME,5,-0.51,2025-06
